Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
All India,27016000,15694541,58.0,102.5,242941,98.5,14577563,12882138,18027845,82.1,114.9,13639560.0,13445546.0,13516686.0,4015484.0,3627309.0,3423033.0,17052409,108.7,16774596,5.4,14930230,95.1,71.8,146657,96.9,74.3,0.1,0.1,0.1,0.0,0,1.4,91.9,6.3,106010,8.5,13.5,20.9,6.0,0.5,1.9,0.0,48.7
A & N Islands,6000,4011,66.8,109.2,115,97.2,3891,3920,4009,97.7,100.0,4001.0,3978.0,3902.0,,,,3781,94.3,3662,5.7,3692,92.0,201.1,120,93.7,52.7,0.0,0.0,0.0,0.0,0,1.8,93.1,5.1,31,16.1,6.5,19.4,3.2,0.0,0.0,3.2,51.6
Andhra Pradesh,885000,511976,57.8,132.3,7844,98.5,462644,605410,683415,118.2,133.5,604480.0,602008.0,610846.0,1957.0,1516.0,1518.0,599742,117.1,635164,12.2,587508,114.8,128.6,605,98.3,84.1,1.1,4.0,4.0,0.2,0,3.6,78.8,8.3,1631,1.7,11.7,20.4,4.4,0.3,0.9,0.0,60.6
Arunachal Pradesh,28000,12455,44.4,99.9,200,98.4,11855,12240,17309,98.3,139.0,15864.0,14518.0,13463.0,11.0,6.0,3.0,13683,109.9,12484,20.9,4678,37.6,33.2,28,88.2,54.1,0.1,0.0,0.0,0.3,0,1.2,89.2,9.3,31,5.9,0.0,11.8,17.6,5.9,11.8,0.0,47.1
Assam,729000,456224,62.5,98.1,10581,97.7,446752,192171,470759,42.1,103.2,463419.0,458868.0,445055.0,6.0,0.0,0.0,441675,96.8,435433,6.2,422687,92.6,42.3,2280,97.0,94.1,0.0,0.0,0.0,0.0,0,1.8,97.2,0.9,3582,3.9,16.6,16.2,7.7,0.5,4.9,0.2,50.0
Bihar,3003000,1544467,51.4,101.5,25994,98.3,1412266,1376013,1988741,89.1,128.8,1914131.0,1862821.0,1826302.0,1885.0,1339.0,1159.0,1778632,115.2,1722872,10.6,1259758,81.6,14.1,14575,98.1,83.8,0.1,0.1,0.1,0.0,0,0.7,98.0,1.1,40,12.5,6.3,12.5,9.4,0.0,3.1,0.0,56.3
Chandigarh,18000,19913,110.6,98.9,599,97.1,19909,19834,20296,99.6,101.9,11745.0,10707.0,10800.0,2916.0,2145.0,2038.0,12887,64.7,12769,36.5,1566,7.9,20.5,1,97.4,0.0,0.0,0.0,0.0,0.0,0,0.5,99.3,0.2,1207,39.0,8.6,1.4,4.9,0.0,0.1,0.0,46.0
Chhattisgarh,652000,374687,57.4,99.4,8653,97.7,364595,305164,413958,81.4,110.5,406336.0,402086.0,400807.0,0.0,0.0,1.0,395756,105.6,383010,4.4,379698,101.3,77.6,7104,96.4,90.1,0.0,0.0,0.0,0.0,0,0.5,80.1,19.3,3530,4.0,8.2,30.6,12.9,0.6,1.7,0.0,42.0
Dadra & Nagar Haveli,10000,5531,55.3,99.8,47,99.2,4631,4585,5717,82.9,103.4,5166.0,5131.0,5357.0,0.0,0.0,0.0,5677,102.6,5518,0.7,2531,45.8,7.0,0,98.6,78.4,0.0,0.0,0.0,0.0,0,2.5,94.4,3.1,122,28.7,4.9,25.4,4.1,0.0,0.8,0.0,36.1
Daman & Diu,5000,2824,56.4,99.6,29,99.0,1558,2442,2603,86.5,92.2,2579.0,2603.0,2587.0,0.0,0.0,0.0,3052,108.1,3039,-17.2,2982,105.6,36.6,0,100.0,88.2,0.0,0.1,0.0,0.0,0,0.5,99.4,0.0,33,28.6,14.3,28.6,4.8,0.0,4.8,0.0,19.0
Delhi,319000,197802,62.0,99.4,3372,98.3,188087,177402,227754,89.7,115.1,29364.0,33784.0,36897.0,184753.0,163475.0,148761.0,242016,122.4,221771,-6.3,248648,125.7,42.6,10,95.3,41.3,0.0,0.0,0.0,0.0,0,0.8,98.6,0.6,2692,29.3,10.6,14.0,7.2,1.6,3.3,0.0,34.1
Goa,21000,13370,63.6,99.0,259,98.1,13363,13788,14402,103.1,107.7,308.0,319.0,326.0,14518.0,14477.0,14482.0,16255,121.6,13833,-12.9,15368,114.9,94.2,5,100.0,0.0,0.1,0.1,0.0,0.0,0,2.8,87.3,9.8,50,0.0,2.4,0.0,34.1,0.0,0.0,0.0,63.4
Gujarat,1314000,881519,67.0,100.9,13248,98.5,853131,755087,950799,85.7,107.9,25186.0,23816.0,24932.0,862311.0,835830.0,831712.0,861642,97.7,845547,9.4,817167,92.7,96.9,13752,98.1,87.9,0.0,0.0,0.0,0.0,0,0.7,96.6,2.7,6500,1.3,13.0,31.8,4.1,0.2,1.0,0.1,48.5
Haryana,571000,396074,69.3,99.0,5734,98.6,381066,308936,416413,78.0,105.1,1545.0,4438.0,5131.0,366361.0,346287.0,340468.0,389476,98.3,352489,6.5,406463,102.6,72.7,2457,97.0,67.0,0.0,0.0,0.0,0.0,0,0.4,98.9,0.7,3401,2.2,6.0,13.8,3.1,0.0,0.0,0.3,74.6
Himachal Pradesh,113000,71435,63.2,99.1,1050,98.6,70848,60615,82318,84.9,115.2,80011.0,79227.0,79345.0,91.0,82.0,72.0,83451,116.8,83320,-1.4,79685,111.5,96.0,77,99.3,0.0,0.0,0.0,0.0,0.0,0,0.2,99.8,0.0,793,6.4,9.5,12.8,4.3,0.7,2.7,0.1,63.6
Jammu & Kashmir,229000,141318,61.7,98.3,2991,97.9,114304,125623,151287,88.9,107.1,4733.0,4383.0,4225.0,154443.0,152034.0,146547.0,152047,107.6,140242,-0.5,80127,56.7,60.7,28,91.2,82.5,0.0,0.0,0.0,0.0,0,1.6,96.7,1.7,216,11.6,14.6,16.2,8.1,1.0,2.5,0.0,46.0
Jharkhand,851000,486125,57.1,99.5,7594,98.5,449783,308948,566492,63.6,116.5,552051.0,530580.0,514711.0,153.0,50.0,53.0,494965,101.8,477704,12.6,24065,5.0,7.1,5087,94.7,78.8,0.1,0.0,0.0,0.0,0,3.3,66.2,30.5,1249,1.7,6.9,19.4,5.9,1.0,5.6,0.1,59.4
Karnataka,1157000,675917,58.4,99.7,8006,98.8,665651,655310,853105,97.0,126.2,14273.0,13774.0,12865.0,828106.0,805277.0,813549.0,783686,115.9,766925,8.1,702919,104.0,79.5,2364,94.9,66.1,0.0,0.0,0.0,0.0,0,1.4,97.6,1.1,4925,11.8,23.5,20.7,4.8,0.1,1.2,0.0,37.9
Kerala,502000,379930,75.6,100.3,1580,99.6,379810,345649,382337,91.0,100.6,1502.0,1196.0,1303.0,391995.0,376995.0,364190.0,358331,94.3,351308,6.3,252658,66.5,61.8,2376,99.8,88.1,0.2,0.3,0.0,0.0,0,2.0,97.0,0.5,205,2.9,9.3,25.9,5.9,0.0,0.0,0.0,56.1
Lakshadweep,1000,511,51.1,99.6,12,97.7,503,528,535,103.3,104.7,819.0,805.0,789.0,0.0,0.0,0.0,929,181.8,776,-73.6,0,0.0,,2,87.5,86.6,11.3,0.0,0.0,0.0,0,0.0,88.0,0.7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Madhya Pradesh,2015000,1022457,50.7,98.9,18091,98.3,989663,836726,1028318,81.8,100.6,890087.0,994457.0,1052215.0,197242.0,72109.0,1156.0,1075970,105.2,1034031,-4.6,1074696,105.1,77.1,3648,97.5,80.0,0.0,0.0,0.0,0.0,0,0.6,86.6,12.8,10328,7.0,6.8,25.3,5.9,0.6,3.1,0.0,51.4
Maharashtra,1941000,1339560,69.0,99.7,14838,98.9,1306774,1166684,1434879,87.1,107.1,1455462.0,1397398.0,1396046.0,350.0,383.0,399.0,1396647,104.3,1389171,2.7,1306394,97.5,58.2,8807,99.4,57.9,0.0,0.0,0.0,0.0,0,2.7,89.5,7.8,10984,8.3,12.9,31.2,6.5,0.5,0.1,0.1,40.4
Manipur,44000,31072,70.6,100.1,174,99.4,30249,9481,37916,30.5,122.0,37718.0,35971.0,34210.0,0.0,0.0,0.0,32690,105.2,30983,13.8,28311,91.1,29.0,12,89.9,73.2,0.0,0.0,0.0,0.0,0,0.8,99.0,0.2,58,3.8,13.2,9.4,9.4,7.5,0.0,0.0,56.6
Meghalaya,74000,62212,84.0,98.3,1334,97.9,52766,30731,63684,49.4,102.4,62656.0,59125.0,56744.0,0.0,0.0,0.0,53789,86.5,51287,15.5,49060,78.9,10.9,106,83.6,61.3,0.0,0.0,0.0,0.0,0,0.6,91.9,7.5,1637,4.5,6.2,4.9,19.1,2.2,14.3,0.0,48.7
Mizoram,18000,16455,91.4,99.2,178,98.9,16045,7118,17869,43.3,108.6,15750.0,15521.0,15206.0,4.0,0.0,0.0,14185,86.2,13904,20.6,13175,80.1,77.5,58,96.1,84.6,0.0,0.0,0.0,0.0,0,1.8,78.1,20.1,559,7.3,3.3,8.4,29.3,1.6,11.5,0.0,38.6
Nagaland,32000,16596,51.8,98.6,297,98.2,15872,14289,20494,86.1,123.5,18634.0,17257.0,16060.0,0.0,0.0,0.0,15856,95.5,14736,22.6,10868,65.5,16.8,0,95.7,60.3,0.0,0.0,0.0,0.0,0,2.8,94.2,3.0,82,15.0,16.3,13.8,15.0,3.8,11.3,0.0,25.0
Odisha,847000,530699,62.6,98.3,13499,97.5,497002,432594,557968,81.5,105.1,532955.0,528728.0,530270.0,0.0,0.0,0.0,520890,98.2,516601,6.6,554568,104.5,174.4,50964,99.6,94.4,0.0,0.0,0.0,0.0,0,0.3,65.4,34.4,11554,3.9,11.9,22.7,6.6,0.3,1.5,0.0,53.0
Puducherry,23000,32946,143.2,92.3,589,98.2,32884,32698,32808,99.2,99.6,2222.0,1528.0,1449.0,12807.0,11472.0,10759.0,11499,34.9,11430,65.0,10272,31.2,50.4,3217,96.9,0.0,0.0,0.0,0.0,0.0,0,1.1,97.7,1.2,12,27.3,9.1,18.2,0.0,0.0,0.0,0.0,45.5
Punjab,452000,313147,69.2,98.3,4858,98.5,303126,269591,349100,86.1,111.5,324636.0,318806.0,320717.0,132.0,149.0,180.0,338102,108.0,334410,3.2,319552,102.0,81.6,728,98.1,78.5,0.0,0.0,0.0,0.0,0,0.0,99.4,0.5,1253,2.6,3.7,7.3,5.1,3.8,6.5,0.1,70.8
Rajasthan,1849000,1069508,57.8,99.7,20602,98.1,1002128,774441,1128909,72.4,105.6,840621.0,951248.0,1041021.0,239221.0,97661.0,3592.0,1058601,99.0,1032463,6.2,902642,84.4,51.8,111,96.2,66.4,0.2,0.2,0.0,0.1,0,1.1,95.0,3.3,13276,11.7,7.4,17.2,5.6,0.4,1.3,0.0,56.4
Sikkim,11000,6017,54.7,99.4,103,98.3,5646,5844,6139,97.1,102.0,5525.0,5491.0,5471.0,386.0,327.0,274.0,6264,104.1,6182,-2.0,6163,102.4,99.2,2,99.1,87.3,0.0,0.0,0.0,0.0,0,0.6,99.3,0.1,127,11.2,11.2,10.4,18.4,0.0,4.0,0.0,44.8
Tamil Nadu,1149000,746550,64.9,99.5,6837,99.1,744084,737447,739614,98.8,99.1,,,,754823.0,744779.0,741165.0,747556,100.1,719726,-1.1,470383,63.0,149.3,11294,96.7,4.8,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,8903,9.3,19.8,9.9,3.2,0.4,0.4,0.0,57.0
Telangana,631000,433321,68.6,137.3,6850,98.4,389770,407014,474195,93.9,109.4,467868.0,464538.0,469946.0,150.0,95.0,174.0,478156,110.3,540430,-0.8,386242,89.1,59.1,30,97.9,81.4,0.4,0.0,0.0,0.0,0,2.1,80.0,17.4,723,0.7,5.0,17.0,5.7,0.3,2.1,0.1,69.1
Tripura,52000,38537,74.1,98.9,720,98.2,36849,19781,40186,51.3,104.3,42239.0,41039.0,39806.0,0.0,0.0,0.0,40896,106.1,36389,-1.8,33779,87.7,26.4,28,97.1,94.1,0.0,0.0,0.0,0.0,0,2.0,64.6,33.3,384,11.1,15.0,14.2,17.9,0.0,2.6,0.0,39.2
Uttar Pradesh,5765000,2686275,46.5,108.1,36493,98.7,2189545,1868583,3504259,69.6,130.5,3578462.0,3359113.0,3312789.0,30.0,8.0,8.0,3347129,124.6,3363138,4.5,3041700,113.2,80.3,1883,95.5,79.9,0.9,0.1,0.0,0.0,0,6.5,83.7,8.8,863,4.5,13.1,10.9,3.5,0.8,3.1,0.3,63.8
Uttarakhand,193000,118516,61.4,99.1,1862,98.5,108736,85779,137887,72.4,116.3,135061.0,133293.0,132891.0,227.0,250.0,212.0,136111,114.8,131409,1.3,63003,53.2,34.2,2821,92.1,84.7,0.0,0.0,0.0,0.0,0,1.1,97.9,0.9,455,3.1,38.9,14.9,4.7,0.7,1.9,0.0,35.8
West Bengal,1506000,1054584,70.0,98.6,17680,98.4,1003737,909672,1184196,86.3,112.3,1092151.0,1066991.0,1071603.0,606.0,563.0,561.0,1122086,106.4,1080440,5.2,1353239,128.3,39.3,12077,97.8,77.6,0.0,0.0,0.0,0.0,0,2.7,97.0,0.3,14571,12.6,24.4,21.8,4.3,0.2,1.4,0.1,35.3
